ENSDARP00000136350.1	ENSDARP00000152373.1
ENSDARP00000127116.1	ENSDARP00000153868.1
ENSDARP00000010616.6	ENSDARP00000150610.1
ENSDARP00000137358.1	ENSDARP00000154582.1
ENSDARP00000084022.5	ENSDARP00000155015.1
ENSDARP00000076820.4	ENSDARP00000115736.1
ENSDARP00000061587.4	ENSDARP00000041364.3
ENSDARP00000127267.1	ENSDARP00000155594.1
ENSDARP00000099800.2	ENSDARP00000155509.1
ENSDARP00000051546.3	ENSDARP00000151071.1
ENSDARP00000075891.5	ENSDARP00000154374.1
ENSDARP00000101401.1	ENSDARP00000111934.2
ENSDARP00000016859.6	ENSDARP00000143940.2
ENSDARP00000092923.4	ENSDARP00000149672.1
ENSDARP00000031112.4	ENSDARP00000043075.4
ENSDARP00000058006.3	ENSDARP00000095193.3
ENSDARP00000112009.2	ENSDARP00000151089.1
ENSDARP00000122404.2	ENSDARP00000154823.1
ENSDARP00000074492.5	ENSDARP00000157653.1
ENSDARP00000082539.4	ENSDARP00000153233.1
ENSDARP00000124413.1	ENSDARP00000051538.3
ENSDARP00000114382.1	ENSDARP00000096714.4
ENSDARP00000112853.1	ENSDARP00000145590.1
ENSDARP00000049675.7	ENSDARP00000149553.1
ENSDARP00000123512.1	ENSDARP00000090967.2
ENSDARP00000100304.3	ENSDARP00000155415.1
ENSDARP00000023313.8	ENSDARP00000107618.2
ENSDARP00000144451.2	ENSDARP00000122615.1
ENSDARP00000063834.5	ENSDARP00000111153.2
ENSDARP00000129596.1	ENSDARP00000147767.1
ENSDARP00000142942.1	ENSDARP00000154737.1
ENSDARP00000119745.1	ENSDARP00000116414.1
ENSDARP00000084122.5	ENSDARP00000130035.2
ENSDARP00000143360.2	ENSDARP00000094800.4
ENSDARP00000087545.4	ENSDARP00000080578.6
ENSDARP00000085288.5	ENSDARP00000149347.1
ENSDARP00000100462.3	ENSDARP00000155448.1
ENSDARP00000133842.1	ENSDARP00000141441.1
ENSDARP00000103978.4	ENSDARP00000143962.2
ENSDARP00000005376.6	ENSDARP00000152543.1
ENSDARP00000136016.1	ENSDARP00000124627.1
ENSDARP00000045608.5	ENSDARP00000151793.1
ENSDARP00000050113.2	ENSDARP00000064852.2
ENSDARP00000007186.9	ENSDARP00000108062.3
ENSDARP00000041348.5	ENSDARP00000134128.1
ENSDARP00000132162.1	ENSDARP00000149444.1
ENSDARP00000060190.3	ENSDARP00000147468.1
ENSDARP00000134145.1	ENSDARP00000039596.5
ENSDARP00000138673.1	ENSDARP00000152050.1
ENSDARP00000149415.1	ENSDARP00000150069.1
ENSDARP00000060183.5	ENSDARP00000149336.1
ENSDARP00000137573.1	ENSDARP00000151333.1
ENSDARP00000088414.3	ENSDARP00000152897.1
ENSDARP00000004190.9	ENSDARP00000147005.1
ENSDARP00000072610.4	ENSDARP00000150758.1
ENSDARP00000140123.2	ENSDARP00000156638.1
ENSDARP00000129450.1	ENSDARP00000042500.5
ENSDARP00000137166.1	ENSDARP00000138857.2
ENSDARP00000096361.3	ENSDARP00000146501.1
ENSDARP00000025026.7	ENSDARP00000154270.1
ENSDARP00000122007.1	ENSDARP00000140984.2
ENSDARP00000084075.4	ENSDARP00000151099.1
ENSDARP00000096360.2	ENSDARP00000150871.1
ENSDARP00000111935.1	ENSDARP00000063943.3
ENSDARP00000096703.4	ENSDARP00000152581.1
ENSDARP00000074153.3	ENSDARP00000146277.1
ENSDARP00000108783.1	ENSDARP00000068614.4
ENSDARP00000145080.1	ENSDARP00000151142.1
ENSDARP00000026867.7	ENSDARP00000138114.2
ENSDARP00000059346.4	ENSDARP00000144627.1
ENSDARP00000039639.5	ENSDARP00000025072.6
ENSDARP00000124599.1	ENSDARP00000148807.1
ENSDARP00000114980.1	ENSDARP00000084529.6
ENSDARP00000148180.1	ENSDARP00000149701.1
ENSDARP00000025104.6	ENSDARP00000076218.4
ENSDARP00000117918.1	ENSDARP00000151830.1
ENSDARP00000087859.6	ENSDARP00000027114.9
ENSDARP00000124695.1	ENSDARP00000157660.1
ENSDARP00000116998.2	ENSDARP00000010052.8
ENSDARP00000039846.6	ENSDARP00000146089.1
ENSDARP00000147281.1	ENSDARP00000145773.1
ENSDARP00000133052.2	ENSDARP00000100328.3
ENSDARP00000120125.2	ENSDARP00000148241.1
ENSDARP00000154575.1	ENSDARP00000141590.1
ENSDARP00000108362.2	ENSDARP00000145074.1
ENSDARP00000157362.1	ENSDARP00000148040.1
ENSDARP00000017982.6	ENSDARP00000137308.1
ENSDARP00000066163.4	ENSDARP00000149059.1
ENSDARP00000143561.1	ENSDARP00000152197.1
ENSDARP00000114191.1	ENSDARP00000155090.1
ENSDARP00000135114.1	ENSDARP00000147659.1
ENSDARP00000095029.4	ENSDARP00000157512.1
ENSDARP00000063799.5	ENSDARP00000058383.5
ENSDARP00000041713.6	ENSDARP00000020867.7
ENSDARP00000041514.4	ENSDARP00000136017.1
ENSDARP00000029816.5	ENSDARP00000144277.2
ENSDARP00000062575.4	ENSDARP00000149086.1
ENSDARP00000112809.1	ENSDARP00000144936.1
ENSDARP00000108139.2	ENSDARP00000150036.1
ENSDARP00000064699.4	ENSDARP00000154376.1
ENSDARP00000095399.3	ENSDARP00000151345.1
ENSDARP00000130499.2	ENSDARP00000106396.2
ENSDARP00000135442.1	ENSDARP00000080662.6
ENSDARP00000116465.2	ENSDARP00000040396.4
ENSDARP00000130392.1	ENSDARP00000107735.3
ENSDARP00000105205.1	ENSDARP00000114334.1
ENSDARP00000119064.2	ENSDARP00000107343.3
ENSDARP00000031172.6	ENSDARP00000058935.4
ENSDARP00000149755.1	ENSDARP00000152480.1
ENSDARP00000132291.1	ENSDARP00000152363.1
ENSDARP00000046210.5	ENSDARP00000147564.1
ENSDARP00000115627.1	ENSDARP00000130641.2
ENSDARP00000115089.1	ENSDARP00000150012.1
ENSDARP00000075309.4	ENSDARP00000110152.3
ENSDARP00000084713.4	ENSDARP00000145779.1
ENSDARP00000136088.1	ENSDARP00000060785.6
ENSDARP00000078219.3	ENSDARP00000078570.5
ENSDARP00000095521.4	ENSDARP00000157439.1
ENSDARP00000065806.5	ENSDARP00000157000.1
ENSDARP00000150665.1	ENSDARP00000020512.7
ENSDARP00000073610.5	ENSDARP00000137148.2
ENSDARP00000146183.1	ENSDARP00000156084.1
ENSDARP00000024319.8	ENSDARP00000149849.1
ENSDARP00000094748.2	ENSDARP00000011562.6
ENSDARP00000029765.5	ENSDARP00000153065.1
ENSDARP00000050864.4	ENSDARP00000132774.1
ENSDARP00000123317.1	ENSDARP00000153407.1
ENSDARP00000103677.3	ENSDARP00000102620.2
ENSDARP00000028542.5	ENSDARP00000147183.1
ENSDARP00000103590.2	ENSDARP00000154924.1
ENSDARP00000092919.3	ENSDARP00000149726.1
ENSDARP00000121430.1	ENSDARP00000153087.1
ENSDARP00000049991.4	ENSDARP00000003622.7
ENSDARP00000117786.1	ENSDARP00000157289.1
ENSDARP00000098029.3	ENSDARP00000157486.1
ENSDARP00000139974.1	ENSDARP00000145042.1
ENSDARP00000129812.1	ENSDARP00000128290.1
ENSDARP00000009156.6	ENSDARP00000141637.2
ENSDARP00000049588.6	ENSDARP00000002692.9
ENSDARP00000106726.1	ENSDARP00000148367.1
ENSDARP00000088296.4	ENSDARP00000147089.1
ENSDARP00000025628.7	ENSDARP00000140217.2
ENSDARP00000130742.2	ENSDARP00000140836.2
ENSDARP00000104107.3	ENSDARP00000141419.2
ENSDARP00000002526.7	ENSDARP00000105177.1
ENSDARP00000114229.1	ENSDARP00000144897.1
ENSDARP00000130113.1	ENSDARP00000150526.1
ENSDARP00000141288.1	ENSDARP00000036256.7
ENSDARP00000082351.6	ENSDARP00000043726.7
ENSDARP00000127699.1	ENSDARP00000096454.2
ENSDARP00000096695.3	ENSDARP00000148135.1
ENSDARP00000094013.4	ENSDARP00000155830.1
ENSDARP00000017531.6	ENSDARP00000157224.1
ENSDARP00000116455.1	ENSDARP00000145922.1
ENSDARP00000110184.2	ENSDARP00000146018.1
ENSDARP00000074144.3	ENSDARP00000148686.1
ENSDARP00000088297.2	ENSDARP00000150581.1
ENSDARP00000066306.4	ENSDARP00000145664.1
ENSDARP00000064470.5	ENSDARP00000156456.1
ENSDARP00000062568.5	ENSDARP00000150460.1
ENSDARP00000007528.9	ENSDARP00000152829.1
ENSDARP00000019528.4	ENSDARP00000138318.1
ENSDARP00000113682.1	ENSDARP00000068197.4
ENSDARP00000130483.1	ENSDARP00000145939.1
ENSDARP00000059310.6	ENSDARP00000137033.1
ENSDARP00000144262.1	ENSDARP00000124821.2
ENSDARP00000015417.5	ENSDARP00000156521.1
ENSDARP00000122123.1	ENSDARP00000109552.2
ENSDARP00000103412.4	ENSDARP00000132140.2
ENSDARP00000112471.1	ENSDARP00000156510.1
ENSDARP00000098438.2	ENSDARP00000156254.1
ENSDARP00000064031.4	ENSDARP00000147480.1
ENSDARP00000018404.6	ENSDARP00000067039.5
ENSDARP00000071871.4	ENSDARP00000123832.1
ENSDARP00000120294.2	ENSDARP00000032856.9
ENSDARP00000154566.1	ENSDARP00000148811.1
ENSDARP00000116430.1	ENSDARP00000146390.1
ENSDARP00000127286.1	ENSDARP00000146050.1
ENSDARP00000117426.1	ENSDARP00000008954.7
ENSDARP00000014221.6	ENSDARP00000154415.1
ENSDARP00000073857.3	ENSDARP00000145856.1
ENSDARP00000106572.1	ENSDARP00000153574.1
ENSDARP00000136003.1	ENSDARP00000068602.5
ENSDARP00000119598.1	ENSDARP00000130480.1
ENSDARP00000083120.3	ENSDARP00000149630.1
ENSDARP00000109027.1	ENSDARP00000152464.1
ENSDARP00000134593.1	ENSDARP00000136666.2
ENSDARP00000026303.9	ENSDARP00000144638.2
ENSDARP00000128402.1	ENSDARP00000003004.8
ENSDARP00000068225.2	ENSDARP00000145792.1
ENSDARP00000100047.3	ENSDARP00000153971.1
ENSDARP00000071047.5	ENSDARP00000146351.1
ENSDARP00000098597.3	ENSDARP00000154631.1
ENSDARP00000080119.4	ENSDARP00000103027.4
ENSDARP00000113661.1	ENSDARP00000153371.1
ENSDARP00000133551.1	ENSDARP00000036537.8
ENSDARP00000115601.1	ENSDARP00000152158.1
ENSDARP00000122904.1	ENSDARP00000149690.1
ENSDARP00000064175.6	ENSDARP00000120338.1
ENSDARP00000091471.3	ENSDARP00000146276.1
ENSDARP00000035119.7	ENSDARP00000154421.1
ENSDARP00000142709.1	ENSDARP00000142668.1
ENSDARP00000038446.5	ENSDARP00000087463.4
ENSDARP00000053660.5	ENSDARP00000156447.1
ENSDARP00000120826.1	ENSDARP00000149061.1
ENSDARP00000144354.2	ENSDARP00000127688.1
ENSDARP00000116745.1	ENSDARP00000151561.1
ENSDARP00000071411.3	ENSDARP00000153767.1
ENSDARP00000128729.1	ENSDARP00000124801.1
ENSDARP00000060174.5	ENSDARP00000156141.1
ENSDARP00000035057.6	ENSDARP00000120670.1
ENSDARP00000143740.1	ENSDARP00000150407.1
ENSDARP00000106626.1	ENSDARP00000148177.1
ENSDARP00000088166.3	ENSDARP00000155743.1
ENSDARP00000120166.1	ENSDARP00000147641.1
ENSDARP00000094342.3	ENSDARP00000150684.1
ENSDARP00000135176.1	ENSDARP00000154237.1
ENSDARP00000091479.4	ENSDARP00000148304.1
ENSDARP00000128526.1	ENSDARP00000134270.2
ENSDARP00000131759.1	ENSDARP00000147063.1
ENSDARP00000068397.4	ENSDARP00000147385.1
ENSDARP00000072363.4	ENSDARP00000006133.8
ENSDARP00000105700.1	ENSDARP00000146381.1
ENSDARP00000005126.6	ENSDARP00000146860.1
ENSDARP00000119265.1	ENSDARP00000153039.1
ENSDARP00000133840.1	ENSDARP00000147433.1
ENSDARP00000117133.1	ENSDARP00000151742.1
ENSDARP00000080966.4	ENSDARP00000151748.1
ENSDARP00000149157.1	ENSDARP00000147544.1
ENSDARP00000051548.3	ENSDARP00000145150.1
ENSDARP00000040408.5	ENSDARP00000135154.1
ENSDARP00000116442.1	ENSDARP00000131959.1
ENSDARP00000046217.6	ENSDARP00000024947.8
ENSDARP00000024589.7	ENSDARP00000149592.1
ENSDARP00000022349.4	ENSDARP00000061327.5
ENSDARP00000071576.3	ENSDARP00000148576.1
ENSDARP00000108633.2	ENSDARP00000148111.1
ENSDARP00000081816.5	ENSDARP00000129311.1
ENSDARP00000113357.1	ENSDARP00000126873.1
ENSDARP00000148063.1	ENSDARP00000072683.4
ENSDARP00000031764.6	ENSDARP00000154217.1
ENSDARP00000118941.1	ENSDARP00000149391.1
ENSDARP00000030479.6	ENSDARP00000153266.1
ENSDARP00000016772.8	ENSDARP00000150822.1
ENSDARP00000044657.4	ENSDARP00000145906.1
ENSDARP00000037076.7	ENSDARP00000143474.2
ENSDARP00000117551.1	ENSDARP00000083639.4
ENSDARP00000143193.1	ENSDARP00000152718.1
ENSDARP00000062893.3	ENSDARP00000112435.3
ENSDARP00000107862.2	ENSDARP00000153941.1
ENSDARP00000107704.2	ENSDARP00000112755.1
ENSDARP00000073846.4	ENSDARP00000154850.1
ENSDARP00000031629.5	ENSDARP00000133869.2
ENSDARP00000102700.2	ENSDARP00000155655.1
ENSDARP00000105799.2	ENSDARP00000100647.4
ENSDARP00000089300.3	ENSDARP00000145901.1
ENSDARP00000154941.1	ENSDARP00000152853.1
ENSDARP00000121373.1	ENSDARP00000070471.4
ENSDARP00000083457.4	ENSDARP00000152240.1
ENSDARP00000019085.7	ENSDARP00000093021.3
ENSDARP00000138657.1	ENSDARP00000136475.2
ENSDARP00000128417.1	ENSDARP00000155897.1
ENSDARP00000117561.1	ENSDARP00000154301.1
ENSDARP00000132169.1	ENSDARP00000140357.1
ENSDARP00000146846.1	ENSDARP00000154904.1
ENSDARP00000075051.5	ENSDARP00000152690.1
ENSDARP00000148470.1	ENSDARP00000092915.5
ENSDARP00000138528.1	ENSDARP00000149727.1
ENSDARP00000142190.1	ENSDARP00000133333.1
ENSDARP00000104286.1	ENSDARP00000138951.1
ENSDARP00000016016.8	ENSDARP00000157498.1
ENSDARP00000049195.6	ENSDARP00000153085.1
ENSDARP00000063558.5	ENSDARP00000153308.1
ENSDARP00000129935.1	ENSDARP00000150719.1
ENSDARP00000051054.5	ENSDARP00000153580.1
ENSDARP00000119125.2	ENSDARP00000147715.1
ENSDARP00000117317.1	ENSDARP00000157288.1
ENSDARP00000111604.3	ENSDARP00000151066.1
ENSDARP00000114515.1	ENSDARP00000148904.1
ENSDARP00000101798.1	ENSDARP00000046801.5
ENSDARP00000056327.5	ENSDARP00000022096.7
ENSDARP00000123816.1	ENSDARP00000062538.6
ENSDARP00000007743.6	ENSDARP00000146736.1
ENSDARP00000142471.1	ENSDARP00000065432.5
ENSDARP00000108805.2	ENSDARP00000144918.1
ENSDARP00000055693.5	ENSDARP00000156561.1
ENSDARP00000131945.2	ENSDARP00000079719.4
ENSDARP00000098660.3	ENSDARP00000147551.1
ENSDARP00000053124.6	ENSDARP00000145598.1
ENSDARP00000114988.1	ENSDARP00000099500.5
ENSDARP00000084449.4	ENSDARP00000153619.1
ENSDARP00000156883.1	ENSDARP00000148889.1
ENSDARP00000086444.4	ENSDARP00000156489.1
ENSDARP00000142222.1	ENSDARP00000127969.1
ENSDARP00000022900.6	ENSDARP00000149502.1
ENSDARP00000130230.1	ENSDARP00000148181.1
ENSDARP00000092016.3	ENSDARP00000146103.1
ENSDARP00000012595.6	ENSDARP00000122114.1
ENSDARP00000075195.4	ENSDARP00000151677.1
ENSDARP00000109550.2	ENSDARP00000149864.1
ENSDARP00000090237.3	ENSDARP00000147538.1
ENSDARP00000093236.3	ENSDARP00000153700.1
ENSDARP00000135823.1	ENSDARP00000087253.6
ENSDARP00000132546.1	ENSDARP00000073346.5
ENSDARP00000142389.1	ENSDARP00000157109.1
ENSDARP00000029899.6	ENSDARP00000145937.1
ENSDARP00000051517.6	ENSDARP00000147202.1
ENSDARP00000098380.3	ENSDARP00000077372.5
ENSDARP00000086765.4	ENSDARP00000132880.2
ENSDARP00000022450.7	ENSDARP00000003684.8
ENSDARP00000123841.1	ENSDARP00000076126.5
ENSDARP00000061761.5	ENSDARP00000112958.1
ENSDARP00000060000.3	ENSDARP00000145210.1
ENSDARP00000120586.1	ENSDARP00000146549.1
ENSDARP00000122058.1	ENSDARP00000055170.5
ENSDARP00000111602.2	ENSDARP00000156125.1
ENSDARP00000002466.8	ENSDARP00000157030.1
ENSDARP00000144816.1	ENSDARP00000147744.1
ENSDARP00000132828.1	ENSDARP00000147794.1
ENSDARP00000063009.4	ENSDARP00000120869.1
ENSDARP00000068245.4	ENSDARP00000145005.1
ENSDARP00000060265.6	ENSDARP00000145401.1
ENSDARP00000068795.4	ENSDARP00000156244.1
ENSDARP00000135349.1	ENSDARP00000087688.4
ENSDARP00000003398.8	ENSDARP00000138300.1
ENSDARP00000009521.6	ENSDARP00000079311.4
ENSDARP00000132290.1	ENSDARP00000144227.2
ENSDARP00000061734.4	ENSDARP00000118379.1
ENSDARP00000044029.6	ENSDARP00000157447.1
ENSDARP00000051665.3	ENSDARP00000154678.1
ENSDARP00000122486.2	ENSDARP00000119475.1
ENSDARP00000142364.1	ENSDARP00000082409.4
ENSDARP00000008736.6	ENSDARP00000147406.1
ENSDARP00000075148.4	ENSDARP00000146053.1
ENSDARP00000046677.6	ENSDARP00000137398.1
ENSDARP00000044573.7	ENSDARP00000113492.1
ENSDARP00000092178.4	ENSDARP00000145518.1
ENSDARP00000013441.5	ENSDARP00000144249.2
ENSDARP00000119451.1	ENSDARP00000151880.1
ENSDARP00000099529.1	ENSDARP00000156144.1
ENSDARP00000090686.2	ENSDARP00000130121.2
ENSDARP00000048272.6	ENSDARP00000151975.1
ENSDARP00000114416.1	ENSDARP00000105134.3
ENSDARP00000080600.5	ENSDARP00000136566.2
ENSDARP00000006762.7	ENSDARP00000145714.1
ENSDARP00000127125.1	ENSDARP00000145508.1
ENSDARP00000128125.1	ENSDARP00000143429.1
ENSDARP00000152888.1	ENSDARP00000145027.1
ENSDARP00000123510.1	ENSDARP00000016703.5
ENSDARP00000119043.1	ENSDARP00000122343.1
ENSDARP00000082698.5	ENSDARP00000149147.1
ENSDARP00000120075.1	ENSDARP00000137286.1
ENSDARP00000010799.5	ENSDARP00000130699.2
ENSDARP00000128712.1	ENSDARP00000129639.1
ENSDARP00000033942.9	ENSDARP00000047775.7
ENSDARP00000140114.1	ENSDARP00000140988.2
ENSDARP00000119077.1	ENSDARP00000146229.1
ENSDARP00000076760.3	ENSDARP00000147186.1
ENSDARP00000124340.1	ENSDARP00000131120.2
ENSDARP00000135056.1	ENSDARP00000050129.4
ENSDARP00000093333.5	ENSDARP00000047400.7
ENSDARP00000101911.2	ENSDARP00000145524.1
ENSDARP00000132207.2	ENSDARP00000070114.5
ENSDARP00000048429.5	ENSDARP00000135045.2
ENSDARP00000056829.4	ENSDARP00000114722.1
ENSDARP00000115285.1	ENSDARP00000110133.2
ENSDARP00000119177.1	ENSDARP00000119322.1
ENSDARP00000106324.2	ENSDARP00000117088.1
ENSDARP00000082159.4	ENSDARP00000140941.1
ENSDARP00000081878.5	ENSDARP00000156838.1
ENSDARP00000054689.5	ENSDARP00000150318.1
ENSDARP00000057304.6	ENSDARP00000132464.2
ENSDARP00000024225.5	ENSDARP00000001363.6
ENSDARP00000035935.8	ENSDARP00000152071.1
ENSDARP00000120564.1	ENSDARP00000148422.1
ENSDARP00000054688.4	ENSDARP00000152931.1
ENSDARP00000045209.6	ENSDARP00000151808.1
ENSDARP00000078505.5	ENSDARP00000155776.1
ENSDARP00000036490.6	ENSDARP00000148515.1
ENSDARP00000061616.4	ENSDARP00000150793.1
ENSDARP00000010246.3	ENSDARP00000150608.1
ENSDARP00000057173.5	ENSDARP00000112695.1
ENSDARP00000114855.1	ENSDARP00000155929.1
ENSDARP00000122479.2	ENSDARP00000152489.1
ENSDARP00000045098.6	ENSDARP00000150916.1
ENSDARP00000101848.2	ENSDARP00000150277.1
ENSDARP00000138694.1	ENSDARP00000137352.1
ENSDARP00000114218.1	ENSDARP00000122342.1
ENSDARP00000052089.3	ENSDARP00000052103.5
ENSDARP00000103287.3	ENSDARP00000155315.1
ENSDARP00000114142.1	ENSDARP00000153620.1
ENSDARP00000153549.1	ENSDARP00000154892.1
ENSDARP00000130416.1	ENSDARP00000157162.1
ENSDARP00000137544.1	ENSDARP00000134861.1
ENSDARP00000083036.2	ENSDARP00000152058.1
ENSDARP00000065137.4	ENSDARP00000109571.3
ENSDARP00000066384.4	ENSDARP00000156820.1
ENSDARP00000013230.7	ENSDARP00000143730.2
ENSDARP00000145015.1	ENSDARP00000144727.1
ENSDARP00000132408.1	ENSDARP00000142058.1
ENSDARP00000112231.2	ENSDARP00000017129.8
ENSDARP00000108870.1	ENSDARP00000150835.1
ENSDARP00000100115.3	ENSDARP00000134462.1
ENSDARP00000014061.7	ENSDARP00000146752.1
ENSDARP00000142921.1	ENSDARP00000132116.2
ENSDARP00000132681.1	ENSDARP00000153494.1
ENSDARP00000123962.2	ENSDARP00000003161.9
ENSDARP00000095092.2	ENSDARP00000103603.1
ENSDARP00000142947.1	ENSDARP00000147613.1
ENSDARP00000132513.2	ENSDARP00000125484.1
ENSDARP00000123235.2	ENSDARP00000085450.4
ENSDARP00000126276.1	ENSDARP00000106819.2
ENSDARP00000148050.1	ENSDARP00000149914.1
ENSDARP00000125533.2	ENSDARP00000056102.6
ENSDARP00000074335.5	ENSDARP00000153988.1
ENSDARP00000112413.2	ENSDARP00000123191.1
ENSDARP00000007424.6	ENSDARP00000028333.6
ENSDARP00000129490.1	ENSDARP00000146843.1
ENSDARP00000093260.3	ENSDARP00000147966.1
ENSDARP00000075217.4	ENSDARP00000153948.1
ENSDARP00000136762.1	ENSDARP00000138058.2
ENSDARP00000112770.1	ENSDARP00000149020.1
ENSDARP00000066764.3	ENSDARP00000115422.1
ENSDARP00000040597.5	ENSDARP00000116496.1
ENSDARP00000157642.1	ENSDARP00000129642.2
ENSDARP00000125456.1	ENSDARP00000145126.1
ENSDARP00000133680.1	ENSDARP00000077039.3
ENSDARP00000098666.3	ENSDARP00000145795.1
ENSDARP00000093865.2	ENSDARP00000155872.1
ENSDARP00000088561.2	ENSDARP00000147279.1
ENSDARP00000129588.1	ENSDARP00000147075.1
ENSDARP00000149022.1	ENSDARP00000145464.1
ENSDARP00000051290.4	ENSDARP00000144658.1
ENSDARP00000145221.1	ENSDARP00000062002.6
ENSDARP00000115077.1	ENSDARP00000090169.2
ENSDARP00000146083.1	ENSDARP00000150759.1
ENSDARP00000130009.1	ENSDARP00000154063.1
ENSDARP00000127618.1	ENSDARP00000127559.1
ENSDARP00000134695.1	ENSDARP00000050657.5
ENSDARP00000013812.10	ENSDARP00000150587.1
ENSDARP00000120574.1	ENSDARP00000133732.1
ENSDARP00000094963.4	ENSDARP00000153288.1
ENSDARP00000150019.1	ENSDARP00000153612.1
ENSDARP00000133297.1	ENSDARP00000143338.2
ENSDARP00000064389.4	ENSDARP00000133702.1
ENSDARP00000106290.2	ENSDARP00000143707.2
ENSDARP00000137725.1	ENSDARP00000155852.1
ENSDARP00000086061.4	ENSDARP00000145248.1
ENSDARP00000135366.1	ENSDARP00000127775.2
ENSDARP00000089087.2	ENSDARP00000144864.1
ENSDARP00000063070.5	ENSDARP00000152906.1
ENSDARP00000083961.7	ENSDARP00000148459.1
ENSDARP00000127596.1	ENSDARP00000135480.1
ENSDARP00000069055.4	ENSDARP00000008156.8
ENSDARP00000151980.1	ENSDARP00000146287.1
ENSDARP00000153841.1	ENSDARP00000047514.6
ENSDARP00000074130.5	ENSDARP00000138990.2
ENSDARP00000116071.1	ENSDARP00000150727.1
ENSDARP00000090505.4	ENSDARP00000156970.1
ENSDARP00000144770.1	ENSDARP00000052568.6
ENSDARP00000115596.1	ENSDARP00000091642.2
ENSDARP00000056881.3	ENSDARP00000132246.1
ENSDARP00000072280.4	ENSDARP00000153317.1
ENSDARP00000155651.1	ENSDARP00000152391.1
ENSDARP00000108138.3	ENSDARP00000137574.1
ENSDARP00000153729.1	ENSDARP00000088811.3
ENSDARP00000140559.1	ENSDARP00000154775.1
ENSDARP00000057917.6	ENSDARP00000127356.1
ENSDARP00000052802.7	ENSDARP00000147978.1
ENSDARP00000074800.4	ENSDARP00000061498.6
ENSDARP00000102198.2	ENSDARP00000148395.1
ENSDARP00000001807.6	ENSDARP00000156885.1
ENSDARP00000028905.4	ENSDARP00000145475.1
ENSDARP00000005265.4	ENSDARP00000153675.1
ENSDARP00000060981.4	ENSDARP00000144051.2
ENSDARP00000065771.4	ENSDARP00000148215.1
ENSDARP00000108854.2	ENSDARP00000154792.1
ENSDARP00000112894.1	ENSDARP00000134368.2
ENSDARP00000068426.5	ENSDARP00000004431.8
ENSDARP00000124979.1	ENSDARP00000105829.2
ENSDARP00000139124.1	ENSDARP00000145207.1
ENSDARP00000053510.6	ENSDARP00000143801.2
ENSDARP00000105786.2	ENSDARP00000113119.1
ENSDARP00000069608.4	ENSDARP00000144850.1
ENSDARP00000130315.1	ENSDARP00000107125.3
ENSDARP00000147765.1	ENSDARP00000151726.1
ENSDARP00000101598.2	ENSDARP00000152066.1
ENSDARP00000069610.1	ENSDARP00000076944.5
ENSDARP00000062899.5	ENSDARP00000147897.1
ENSDARP00000127335.1	ENSDARP00000150403.1
ENSDARP00000133467.2	ENSDARP00000132453.1
ENSDARP00000043923.5	ENSDARP00000123608.2
ENSDARP00000119509.1	ENSDARP00000134910.1
ENSDARP00000078119.5	ENSDARP00000134645.2
ENSDARP00000056150.5	ENSDARP00000005183.7
ENSDARP00000074352.4	ENSDARP00000149296.1
ENSDARP00000096552.3	ENSDARP00000030606.8
ENSDARP00000136796.1	ENSDARP00000110269.2
ENSDARP00000140389.1	ENSDARP00000154816.1
ENSDARP00000144097.2	ENSDARP00000077950.5
ENSDARP00000128523.1	ENSDARP00000129874.1
ENSDARP00000116046.2	ENSDARP00000149710.1
ENSDARP00000007263.6	ENSDARP00000146513.1
ENSDARP00000015568.9	ENSDARP00000157582.1
ENSDARP00000042973.5	ENSDARP00000131871.1
ENSDARP00000127639.2	ENSDARP00000109545.2
ENSDARP00000069875.4	ENSDARP00000154954.1
ENSDARP00000055490.4	ENSDARP00000003721.7
ENSDARP00000084034.3	ENSDARP00000147938.1
ENSDARP00000010116.8	ENSDARP00000147127.1
ENSDARP00000142686.1	ENSDARP00000156719.1
ENSDARP00000135639.1	ENSDARP00000102838.4
ENSDARP00000058772.4	ENSDARP00000154464.1
ENSDARP00000135377.1	ENSDARP00000153168.1
ENSDARP00000130573.1	ENSDARP00000146483.1
ENSDARP00000117083.1	ENSDARP00000144439.2
ENSDARP00000134034.1	ENSDARP00000145143.1
ENSDARP00000058944.4	ENSDARP00000106256.1
ENSDARP00000138523.1	ENSDARP00000148322.1
ENSDARP00000029214.5	ENSDARP00000154630.1
ENSDARP00000099418.3	ENSDARP00000157416.1
ENSDARP00000088351.3	ENSDARP00000139288.2
ENSDARP00000132011.1	ENSDARP00000151777.1
ENSDARP00000118028.1	ENSDARP00000044452.7
ENSDARP00000066908.4	ENSDARP00000146733.1
ENSDARP00000123625.2	ENSDARP00000074034.4
ENSDARP00000102277.3	ENSDARP00000152248.1
ENSDARP00000112607.1	ENSDARP00000156714.1
ENSDARP00000119498.1	ENSDARP00000145526.1
ENSDARP00000093238.3	ENSDARP00000149700.1
ENSDARP00000064677.5	ENSDARP00000005312.5
ENSDARP00000052760.3	ENSDARP00000152175.1
ENSDARP00000104167.3	ENSDARP00000147810.1
ENSDARP00000011948.5	ENSDARP00000155673.1
ENSDARP00000108918.2	ENSDARP00000125906.1
ENSDARP00000099952.2	ENSDARP00000135264.2
ENSDARP00000100769.2	ENSDARP00000154506.1
ENSDARP00000116212.1	ENSDARP00000133014.1
